id;description;title;device_id
8713;60;Морозильной камеры (л) :;1267
8714;Россия;Страна-производитель:;1267
8715;192x60x62.5;Габариты (ВxШxГ) (см):;1268
8716;бежевый;Цвет:;1268
8717;340;Холодильника (л) :;1268
8718;210;Холодильной камеры (л) :;1268
8719;130;Морозильной камеры (л) :;1268
8720;Россия;Страна-производитель:;1268
8721;190x60x62.5;Габариты (ВxШxГ) (см):;1269
8722;белый;Цвет:;1269
8723;340;Холодильника (л) :;1269
8724;210;Холодильной камеры (л) :;1269
8725;130;Морозильной камеры (л) :;1269
8726;Россия;Страна-производитель:;1269
8727;207x60x62.5;Габариты (ВxШxГ) (см):;1270
8728;белый;Цвет:;1270
8729;380;Холодильника (л) :;1270
8730;245;Холодильной камеры (л) :;1270
8731;135;Морозильной камеры (л) :;1270
8732;Россия;Страна-производитель:;1270
8733;180x60x62.5;Габариты (ВxШxГ) (см):;1271
8734;белый;Цвет:;1271
8735;330;Холодильника (л) :;1271
8736;245;Холодильной камеры (л) :;1271
8737;85;Морозильной камеры (л) :;1271
8738;Россия;Страна-производитель:;1271
8739;165x60x62.5;Габариты (ВxШxГ) (см):;1272
8740;металлик;Цвет:;1272
8741;295;Холодильника (л) :;1272
8742;210;Холодильной камеры (л) :;1272
8743;85;Морозильной камеры (л) :;1272
8744;Россия;Страна-производитель:;1272
8745;175x60x62.5;Габариты (ВxШxГ) (см):;1273
8746;металлик;Цвет:;1273
8747;310;Холодильника (л) :;1273
8748;210;Холодильной камеры (л) :;1273
8749;100;Морозильной камеры (л) :;1273
8750;Россия;Страна-производитель:;1273
8751;165x60x62.5;Габариты (ВxШxГ) (см):;1274
8752;белый;Цвет:;1274
8753;295;Холодильника (л) :;1274
8754;210;Холодильной камеры (л) :;1274
8755;85;Морозильной камеры (л) :;1274
8756;Россия;Страна-производитель:;1274
8757;207x60x62.5;Габариты (ВxШxГ) (см):;1275
8758;белый;Цвет:;1275
8759;370;Холодильника (л) :;1275
